,btc_PriceUSD,btc_AdrActCnt,btc_BlkCnt,btc_BlkSizeByte,btc_BlkSizeMeanByte,btc_DiffMean,btc_FeeMeanNtv,btc_FeeMedNtv,btc_FeeTotNtv,btc_TxCnt,btc_TxTfr,btc_TxTfrValMeanNtv,btc_TxTfrValMedNtv,btc_TxTfrValNtv
2009-01-03,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0
2009-01-04,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0
2009-01-05,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0
2009-01-06,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0
2009-01-07,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0
2009-01-08,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0
2009-01-09,,19.0,19.0,4085.0,215.0,1.0,,,0.0,0.0,0.0,,,0.0
2009-01-10,,61.0,61.0,13129.0,215.229508196721,1.0,,,0.0,0.0,0.0,,,0.0
2009-01-11,,95.0,93.0,20308.0,218.365591397849,1.0,0.0,0.0,0.0,1.0,1.0,10.0,10.0,10.0
2009-01-12,,101.0,94.0,21758.0,231.468085106383,1.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,24.0
2009-01-13,,123.0,123.0,26530.0,215.691056910569,1.0,,,0.0,0.0,0.0,,,0.0
2009-01-14,,133.0,129.0,28276.0,219.193798449612,1.0,0.0,0.0,0.0,1.0,1.0,61.0,61.0,61.0
2009-01-15,,140.0,126.0,30060.0,238.571428571429,1.0,0.0,0.0,0.0,8.0,7.0,50.4285714285714,25.0,353.0
2009-01-16,,114.0,108.0,23854.0,220.87037037037,1.0,0.0,0.0,0.0,2.0,2.0,100.0,100.0,200.0
2009-01-17,,109.0,109.0,23529.0,215.862385321101,1.0,,,0.0,0.0,0.0,,,0.0
2009-01-18,,111.0,107.0,23534.0,219.943925233645,1.0,0.0,0.0,0.0,1.0,1.0,150.0,150.0,150.0
2009-01-19,,133.0,115.0,26782.0,232.886956521739,1.0,0.0,0.0,0.0,2.0,2.0,387.5,387.5,775.0
2009-01-20,,123.0,114.0,25620.0,224.736842105263,1.0,0.0,0.0,0.0,1.0,1.0,400.0,400.0,400.0
2009-01-21,,116.0,102.0,23518.0,230.56862745098,1.0,0.0,0.0,0.0,2.0,2.0,300.0,300.0,600.0
2009-01-22,,95.0,91.0,20061.0,220.450549450549,1.0,0.0,0.0,0.0,1.0,1.0,150.0,150.0,150.0
2009-01-23,,91.0,84.0,18830.0,224.166666666667,1.0,0.0,0.0,0.0,1.0,1.0,300.0,300.0,300.0
2009-01-24,,212.0,201.0,44633.0,222.054726368159,1.0,0.0,0.0,0.0,1.0,1.0,500.0,500.0,500.0
