,doge_PriceUSD,doge_AdrActCnt,doge_BlkCnt,doge_BlkSizeByte,doge_BlkSizeMeanByte,doge_DiffMean,doge_FeeMeanNtv,doge_FeeMedNtv,doge_FeeTotNtv,doge_TxCnt,doge_TxTfr,doge_TxTfrValMeanNtv,doge_TxTfrValMedNtv,doge_TxTfrValNtv
2013-12-08,,6990.0,2486.0,1707027.0,686.656074014481,0.494418205329848,0.910117020364416,1.0,4245.6959,4665.0,9314.0,99231.9870631351,17905.62153003,924246727.5060402
2013-12-09,,10863.0,1526.0,2759110.0,1808.06684141547,2.37690357416775,0.81827321994432,1.0,7641.85360106,9339.0,18696.0,129690.222822824,27823.36316419,2424688405.895516
2013-12-10,,12132.0,1417.0,2971715.0,2097.18772053634,3.36173338858855,0.579751376234921,1.0,5478.65050542,9450.0,18999.0,129582.38783185,20703.72897466,2461935786.417321
2013-12-11,,43044.0,1575.0,8431778.0,5353.50984126984,5.09298051533336,0.0988977986794929,0.0001,2863.19016957,28951.0,56999.0,76269.7719558699,1752.57306918,4347300731.712626
2013-12-12,,61432.0,1460.0,13549784.0,9280.67397260274,7.2774356145889,0.0216652083084295,0.0001,954.04911307,44036.0,84256.0,64637.4053904221,833.676894305,5446089228.575407
2013-12-13,,64759.0,1590.0,14896480.0,9368.85534591195,9.75423077792435,0.0405221689792131,0.0001,2052.73151398,50657.0,99546.0,92225.5362971349,2162.01067721,9180683236.23459
2013-12-14,,98292.0,1555.0,24502291.0,15757.1003215434,17.8385246487139,0.0214420239697105,0.0001,1724.45333574,80424.0,159352.0,69981.1468219309,619.6235808,11151635708.36834
2013-12-15,,157712.0,1670.0,40722710.0,24384.8562874252,36.8633035943708,3.09486515473181,0.0001,399098.33602844,128955.0,253732.0,106827.890697917,369.059442545,27105654362.56388
2013-12-16,,127087.0,1545.0,30370178.0,19657.0731391586,81.5244964710672,41.0841582217112,0.0001,3890423.27864672,94694.0,184142.0,389861.316260343,200.0,71789842498.81206
2013-12-17,,131166.0,1444.0,26736025.0,18515.2527700831,107.799270953519,0.00404735217361231,0.0001,374.49340192,92528.0,183302.0,67876.47965869,119.88971423,12441894474.3972
