,eth_PriceUSD,eth_AdrActCnt,eth_BlkCnt,eth_BlkSizeByte,eth_BlkSizeMeanByte,eth_DiffMean,eth_FeeMeanNtv,eth_FeeMedNtv,eth_FeeTotNtv,eth_TxCnt,eth_TxTfr,eth_TxTfrValMeanNtv,eth_TxTfrValMedNtv,eth_TxTfrValNtv
2015-07-30,,9206.0,6911.0,4449897.0,643.886123571119,121335493200.826,,,0.0,0.0,0.0,,,0.0
2015-07-31,,424.0,6863.0,3994458.0,582.027976103745,602941851593.554,,,0.0,0.0,0.0,,,0.0
2015-08-01,,413.0,5293.0,3044344.0,575.164179104478,887254173531.021,,,0.0,0.0,0.0,,,0.0
2015-08-02,,432.0,5358.0,3112348.0,580.878686076894,1020253707547.48,,,0.0,0.0,0.0,,,0.0
2015-08-03,,444.0,5280.0,3099953.0,587.112310606061,1125837358847.06,,,0.0,0.0,0.0,,,0.0
2015-08-04,,411.0,5368.0,3150854.0,586.969821162444,1216587344565.17,,,0.0,0.0,0.0,,,0.0
2015-08-05,,411.0,5235.0,3030780.0,578.945558739255,1327837857486.72,,,0.0,0.0,0.0,,,0.0
2015-08-06,,396.0,5116.0,2986060.0,583.670836591087,1380846362251.63,,,0.0,0.0,0.0,,,0.0
2015-08-07,,1390.0,5189.0,3282693.0,632.625361341299,1470838650662.28,0.0182041041518435,0.0013207788662355,37.3184135112793,2050.0,2018.0,995.367056705633,16.1041824032697,2008650.7204319667
2015-08-08,1.1999899999999997,1208.0,5256.0,3508878.0,667.594748858447,1586123528941.25,0.0236376154362569,0.001243194429666,68.09997007185683,2881.0,2663.0,5101.05678797403,1.0,13584114.226374855
2015-08-09,1.1999899999999997,1113.0,5123.0,3167541.0,618.298067538552,1709479787484.64,0.0106086905215994,0.001223010533325,14.09894970320559,1329.0,1266.0,921.287176231885,12.99939719,1166349.565109567
2015-08-10,1.1999899999999997,1430.0,5255.0,3316883.0,631.186108468126,1837695763267.62,0.0152995308975841,0.00122826248427035,31.165144438378736,2037.0,2078.0,804.829350028686,0.5983403,1672435.3893596102
2015-08-11,0.9900000000000001,2697.0,5280.0,3653834.0,692.014015151515,2036390797503.48,0.00227915546766469,0.001217964866769,11.311448586019756,4963.0,5047.0,294.681750526204,0.0545382,1487258.7949057515
2015-08-12,1.288,1219.0,5124.0,3348157.0,653.426424668228,2207079742289.72,0.0160053990198318,0.001244069511888,32.58699240437774,2036.0,1968.0,382.281012105267,10.0,752329.0318231663
2015-08-13,1.8848000000000003,1606.0,5286.0,3519008.0,665.722285281877,2336979708057.89,0.00877169919420939,0.001210095720036,24.929169109943118,2842.0,2792.0,639.963618163232,9.995,1786778.4219117435
2015-08-14,1.7950441624780833,1893.0,5809.0,3832496.0,659.751420210019,2671253150471.51,0.0045226320456293,0.001210110728064,14.354834112827458,3174.0,3085.0,745.363813340425,12.18635044,2299447.3641552106
2015-08-15,1.7822224430157803,1601.0,5382.0,3435520.0,638.33519137867,3378028425874.26,0.00386891113312036,0.0012097606616655,8.83659302804685,2284.0,2202.0,3507.79228296776,10.9695153408554,7724158.607094998
2015-08-16,1.533073775569842,1542.0,5132.0,3287835.0,640.653741231489,3631632144442.79,0.00273657292004328,0.001207801265937,6.6772379249055565,2440.0,2381.0,724.607691056713,8.27630383,1725290.912406033
2015-08-17,1.29638,1522.0,5347.0,3393782.0,634.707686553207,3908024035252.58,0.00304252063679737,0.001210227972051,7.642811839634957,2512.0,2520.0,1351.34595281805,8.25937464920241,3405391.8011014736
2015-08-18,1.0841865692577441,1544.0,4948.0,3208720.0,648.488278092158,4377694725368.53,0.00477388586213952,0.001205692772676,11.906071340176043,2494.0,2498.0,787.300486856734,7.87847178861323,1966676.6161681209
