,ltc_PriceUSD,ltc_AdrActCnt,ltc_BlkCnt,ltc_BlkSizeByte,ltc_BlkSizeMeanByte,ltc_DiffMean,ltc_FeeMeanNtv,ltc_FeeMedNtv,ltc_FeeTotNtv,ltc_TxCnt,ltc_TxTfr,ltc_TxTfrValMeanNtv,ltc_TxTfrValMedNtv,ltc_TxTfrValNtv
2011-10-07,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,
2011-10-08,,2.0,2.0,430.0,215.0,0.000244140625,,,0.0,0.0,0.0,,,
2011-10-09,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,
2011-10-10,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,
2011-10-11,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,
2011-10-12,,2.0,2.0,430.0,215.0,0.000244140625,,,0.0,0.0,0.0,,,
2011-10-13,,9778.0,9685.0,2189503.0,226.071553949406,0.00374115898042622,1.08695652173913e-05,0.0,0.001,92.0,144.0,306.940815972222,50.0,44199.4775
2011-10-14,,1531.0,1122.0,295956.0,263.775401069519,0.046206550802139,3.2258064516129e-05,0.0,0.002,62.0,86.0,261.841633528023,50.0,22518.38048341
2011-10-15,,1514.0,762.0,313095.0,410.885826771654,0.0625,0.000178571428571429,0.0,0.08,448.0,870.0,35.4576436646207,12.179440715,30848.14998822
2011-10-16,,4843.0,915.0,925038.0,1010.97049180328,0.0744594963394304,0.000640276749291785,0.0,0.90407077,1412.0,2756.0,72.2661833718759,9.802898595,199165.60137289
2011-10-17,,3150.0,773.0,766661.0,991.799482535576,0.0903446288818814,0.000224510969162996,0.0,0.35674793,1589.0,3100.0,29.6344595242258,9.85572401,91866.8245251
2011-10-18,,3743.0,826.0,834230.0,1009.96368038741,0.0903446288818813,0.000225384495468278,0.0,0.37301134,1655.0,3276.0,49.7243382228907,10.512223195,162896.93201819
2011-10-19,,2625.0,643.0,702199.0,1092.06687402799,0.124707431528227,0.000227923685344828,0.0,0.31726977,1392.0,2750.0,31.1441954781818,10.485045705,85646.537565
2011-10-20,,3722.0,759.0,851988.0,1122.51383399209,0.1260397534402,0.000173829792802617,0.0,0.31880384,1834.0,3629.0,32.1639512355497,10.373948,116722.97903381
2011-10-21,,3187.0,831.0,792899.0,954.150421179302,0.135786062166215,0.000180407308146399,0.0,0.30560998,1694.0,3356.0,27.6157232285518,8.641433665,92678.36715502
2011-10-22,,2869.0,728.0,739364.0,1015.60989010989,0.168004429871899,0.000325750751677852,0.0,0.48536862,1490.0,2948.0,46.3187269173982,10.22972091,136547.60695249
2011-10-23,,3156.0,828.0,762964.0,921.454106280193,0.168004429871899,0.000272755806654112,0.0,0.4345,1593.0,3162.0,40.3402987812777,10.351710545,127556.0247464
2011-10-24,,2671.0,596.0,630532.0,1057.93959731544,0.196833752725512,0.000236700976971389,0.0,0.3391925,1433.0,2833.0,29.140035866336,9.16042855,82553.72160933
2011-10-25,,2407.0,523.0,571836.0,1093.37667304015,0.22023019406872,0.000187101910828025,0.0,0.235,1256.0,2491.0,39.592241863621,9.17553841,98624.27448228
2011-10-26,,4208.0,577.0,866953.0,1502.51819757366,0.22023019406872,0.000247895503816794,0.0,0.32474311,1310.0,2593.0,72.5371166279021,8.3392925,188088.74341615
2011-10-27,,1877.0,427.0,448357.0,1050.01639344262,0.22023019406872,0.000152340010570825,0.0,0.14411365,946.0,1853.0,36.7030555057474,8.2886569,68010.76185215
2011-10-28,,2639.0,451.0,703604.0,1560.09756097561,0.199371758385712,0.000195736007142857,0.0,0.27403041,1400.0,2767.0,34.6287434780954,9.60939409,95817.73320389
2011-10-29,,2902.0,580.0,778945.0,1343.00862068966,0.187903202683715,0.000465826108506363,0.0,0.69547838,1493.0,2946.0,39.6436855621283,9.012940765,116790.29766603
2011-10-30,,3202.0,736.0,773802.0,1051.36141304348,0.187903202683715,0.001003731447444,0.0,1.74749645,1741.0,3439.0,55.7096461461268,7.86646199,191585.47309653
2011-10-31,,3718.0,660.0,856753.0,1298.11060606061,0.193568950349167,0.000498117913870246,0.0,0.89063483,1788.0,3537.0,113.230407122836,6.32620233,400495.94999347
2011-11-01,,3928.0,876.0,1002649.0,1144.57648401826,0.202801184592865,0.00126768052366566,0.0,2.51761352,1986.0,3912.0,109.1647932143,7.12090442,427052.67105434
2011-11-02,,4532.0,1239.0,1216604.0,981.92413236481,0.253104100556707,0.000664668128729753,0.0,1.55931143,2346.0,4630.0,40.3101389483348,7.55354767,186635.94333079
2011-11-03,,3601.0,904.0,923821.0,1021.92588495575,0.38087350710487,0.000151810231413097,0.0,0.30832658,2031.0,4018.0,30.0812097070881,9.099791805,120866.30060308
